,name,formalism,implied_1,implied_2,implied_3,implied_4,inline_config,mspsp_instance,pb_like,solver,solving_timeout_s,encoder.real_time,encoder.sys_time,encoder.user_time,makespan,model,slurm.timeout,solution_status,solver.real_time,solver.sys_time,solver.user_time
0,balmy-water-1,opb,0.0,1.0,0.0,0.0,"f=opb__s=roundingsat__i=i1=0,i2=1,i3=0,i4=0__pb_like=0",./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn.txt,0.0,roundingsat,600.0,0.08,0.03,0.03,61.0,v S_0:0; S_1:45; S_2:0; S_3:0; S_4:9; S_5:12; S_6:11; S_7:29; S_8:9; S_9:39; S_10:19; S_11:42; S_12:17; S_13:45; S_14:29; S_15:19; S_16:39; S_17:47; S_18:52; S_19:52; S_20:54; S_21:61; A:1:0:0; A:1:8:1; A:2:0:1; A:2:5:1; A:2:7:1; A:2:9:2; A:3:1:0; A:3:2:0; A:3:3:2; A:3:4:0; A:3:6:2; A:3:8:2; A:4:1:1; A:4:2:0; A:4:3:1; A:4:5:1; A:5:1:0; A:5:2:0; A:5:3:2; A:5:4:0; A:5:5:2; A:6:2:0; A:6:5:2; A:7:0:0; A:7:1:0; A:7:2:0; A:7:5:1; A:7:6:1; A:7:7:1; A:8:0:2; A:8:6:2; A:8:7:1; A:8:8:1; A:8:9:2; A:9:3:1; A:9:4:3; A:9:5:1; A:9:7:1; A:9:9:3; A:10:0:1; A:10:1:1; A:10:4:0; A:11:3:2; A:11:5:3; A:11:7:3; A:11:9:3; A:12:0:1; A:12:6:1; A:12:7:3; A:12:8:1; A:12:9:3; A:13:1:3; A:13:2:0; A:13:4:3; A:14:3:1; A:14:4:3; A:14:8:1; A:14:9:3; A:15:3:2; A:15:5:3; A:15:6:2; A:15:7:3; A:15:8:2; A:15:9:3; A:16:0:2; A:16:1:1; A:16:6:2; A:16:8:2; A:17:1:0; A:17:2:0; A:17:4:0; A:17:6:1; A:18:2:0; A:18:5:3; A:18:7:3; A:19:3:2; A:19:6:1; A:20:0:1; A:20:1:0; A:20:4:0; ,False,OPTIMUM_FOUND,2.16,0.06,2.08
1,happy-fire-2,opb,0.0,1.0,0.0,0.0,"f=opb__s=roundingsat__i=i1=0,i2=1,i3=0,i4=0__pb_like=0",./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn.txt,0.0,roundingsat,600.0,0.1,0.02,0.05,66.0,v S_0:0; S_1:10; S_2:4; S_3:0; S_4:10; S_5:33; S_6:20; S_7:20; S_8:28; S_9:34; S_10:30; S_11:47; S_12:42; S_13:47; S_14:39; S_15:39; S_16:53; S_17:42; S_18:56; S_19:56; S_20:61; S_21:66; A:1:2:3; A:1:3:0; A:1:4:3; A:1:5:3; A:1:8:0; A:1:9:0; A:2:2:2; A:2:3:1; A:2:4:2; A:3:5:1; A:3:6:1; A:3:7:0; A:3:8:0; A:3:9:0; A:4:0:2; A:4:1:2; A:4:6:2; A:4:7:0; A:5:0:2; A:5:1:2; A:5:6:1; A:5:7:1; A:5:9:1; A:6:1:2; A:6:3:3; A:6:4:3; A:6:5:3; A:7:2:1; A:7:6:1; A:7:7:1; A:7:8:0; A:7:9:0; A:8:0:2; A:8:6:1; A:8:7:1; A:8:9:1; A:9:2:2; A:9:4:3; A:9:5:3; A:9:8:3; A:10:2:1; A:10:3:1; A:10:4:2; A:10:5:1; A:10:8:2; A:11:0:2; A:11:1:2; A:11:4:2; A:11:9:3; A:12:1:2; A:12:2:1; A:12:3:1; A:12:4:2; A:12:5:2; A:12:7:1; A:13:2:1; A:13:3:0; A:13:5:1; A:13:6:1; A:13:7:0; A:13:8:0; A:14:0:2; A:14:1:2; A:14:3:0; A:14:7:0; A:15:6:1; A:15:9:0; A:16:3:3; A:16:5:3; A:16:8:2; A:17:0:2; A:17:8:3; A:18:7:1; A:18:8:3; A:18:9:3; A:19:3:1; A:19:4:2; A:20:2:3; A:20:5:1; A:20:6:1; ,False,OPTIMUM_FOUND,0.5,0.04,0.45
2,toasty-durian-3,opb,0.0,1.0,0.0,0.0,"f=opb__s=roundingsat__i=i1=0,i2=1,i3=0,i4=0__pb_like=0",./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn.txt,0.0,roundingsat,600.0,0.09,0.02,0.05,55.0,v S_0:0; S_1:0; S_2:9; S_3:5; S_4:51; S_5:15; S_6:26; S_7:24; S_8:5; S_9:15; S_10:34; S_11:17; S_12:32; S_13:18; S_14:39; S_15:28; S_16:41; S_17:28; S_18:46; S_19:36; S_20:54; S_21:55; A:1:1:1; A:1:4:0; A:1:5:0; A:1:6:1; A:1:7:0; A:2:0:3; A:2:3:3; A:2:4:0; A:2:5:0; A:3:1:1; A:3:3:1; A:3:4:0; A:3:5:0; A:3:7:0; A:4:0:3; A:4:3:3; A:4:8:2; A:4:9:3; A:5:1:1; A:5:2:1; A:5:5:2; A:6:1:1; A:6:2:1; A:6:3:1; A:6:4:2; A:6:5:2; A:6:8:2; A:7:6:2; A:7:7:3; A:8:6:2; A:8:8:2; A:8:9:3; A:9:0:3; A:9:3:3; A:9:4:0; A:9:9:3; A:10:3:3; A:10:4:2; A:10:9:3; A:11:0:3; A:11:3:3; A:11:4:0; A:11:9:3; A:12:0:3; A:12:1:1; A:12:2:1; A:12:6:1; A:12:7:3; A:13:5:0; A:13:6:2; A:13:7:2; A:13:8:2; A:14:6:2; A:14:7:3; A:14:8:2; A:15:3:1; A:15:4:1; A:15:5:1; A:15:8:2; A:16:1:1; A:16:2:1; A:16:6:1; A:16:7:2; A:16:8:2; A:17:0:3; A:17:1:1; A:17:2:1; A:17:9:3; A:18:1:1; A:18:2:1; A:18:4:0; A:18:5:0; A:18:6:1; A:18:7:0; A:19:3:3; A:19:4:0; A:19:5:0; A:19:9:3; A:20:1:1; A:20:7:0; ,False,OPTIMUM_FOUND,1.9,0.08,1.8
3,vague-eon-4,opb,0.0,1.0,0.0,0.0,"f=opb__s=roundingsat__i=i1=0,i2=1,i3=0,i4=0__pb_like=0",./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn.txt,0.0,roundingsat,600.0,0.07,0.03,0.03,58.0,v S_0:0; S_1:10; S_2:0; S_3:15; S_4:10; S_5:14; S_6:17; S_7:32; S_8:39; S_9:23; S_10:16; S_11:35; S_12:41; S_13:35; S_14:44; S_15:27; S_16:35; S_17:49; S_18:53; S_19:52; S_20:51; S_21:58; A:1:0:1; A:1:4:1; A:1:5:2; A:1:6:1; A:2:5:2; A:2:9:1; A:3:0:0; A:3:5:2; A:3:6:0; A:3:7:0; A:4:3:3; A:4:8:0; A:4:9:3; A:5:0:0; A:5:1:0; A:5:4:1; A:5:5:1; A:5:6:0; A:6:2:1; A:6:3:3; A:6:4:3; A:6:9:3; A:7:0:1; A:7:5:1; A:7:7:3; A:7:8:3; A:7:9:1; A:8:1:0; A:8:4:1; A:8:6:1; A:8:7:0; A:8:8:0; A:9:0:0; A:9:5:2; A:9:7:0; A:9:8:0; A:10:1:0; A:10:2:1; A:10:4:1; A:11:0:0; A:11:1:0; A:11:3:3; A:11:7:3; A:11:8:0; A:12:0:0; A:12:3:3; A:12:9:3; A:13:2:1; A:13:5:2; A:14:0:1; A:14:3:3; A:14:5:1; A:14:9:1; A:15:1:3; A:15:2:1; A:15:3:3; A:15:4:1; A:15:6:1; A:16:4:3; A:16:6:0; A:16:9:3; A:17:1:3; A:17:2:1; A:17:4:1; A:17:7:3; A:17:8:3; A:18:4:3; A:18:8:3; A:18:9:1; A:19:0:1; A:19:1:3; A:19:2:1; A:19:3:3; A:19:6:1; A:19:7:3; A:20:0:0; A:20:5:1; A:20:6:0; A:20:8:0; A:20:9:1; ,False,OPTIMUM_FOUND,0.36,0.04,0.31
4,ethereal-moon-5,opb,0.0,1.0,0.0,0.0,"f=opb__s=roundingsat__i=i1=0,i2=1,i3=0,i4=0__pb_like=0",./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn.txt,0.0,roundingsat,600.0,0.07,0.02,0.05,52.0,v S_0:0; S_1:31; S_2:0; S_3:0; S_4:4; S_5:22; S_6:22; S_7:13; S_8:10; S_9:31; S_10:17; S_11:31; S_12:29; S_13:44; S_14:44; S_15:35; S_16:33; S_17:39; S_18:48; S_19:49; S_20:50; S_21:52; A:1:1:3; A:1:4:0; A:1:8:0; A:2:2:3; A:2:3:1; A:2:5:1; A:2:9:3; A:3:0:1; A:3:1:1; A:3:4:0; A:3:6:0; A:3:8:0; A:4:2:3; A:4:5:1; A:5:0:2; A:5:2:3; A:5:4:3; A:5:6:3; A:6:1:2; A:6:3:0; A:6:7:2; A:6:8:0; A:6:9:0; A:7:1:1; A:7:6:1; A:7:8:0; A:8:0:2; A:8:3:1; A:8:7:2; A:8:9:2; A:9:0:2; A:9:2:3; A:9:7:2; A:10:0:1; A:10:2:3; A:10:3:1; A:10:4:3; A:10:5:1; A:10:9:3; A:11:3:0; A:11:6:3; A:11:9:3; A:12:0:1; A:12:2:3; A:12:4:3; A:12:5:1; A:12:6:3; A:13:3:1; A:13:4:0; A:13:5:1; A:13:6:1; A:13:8:0; A:14:0:2; A:14:1:2; A:14:7:2; A:14:9:3; A:15:1:2; A:15:4:0; A:15:8:0; A:16:3:0; A:16:5:1; A:16:6:0; A:16:9:0; A:17:0:2; A:17:3:1; A:17:5:1; A:17:6:1; A:17:7:2; A:17:9:2; A:18:1:2; A:18:7:2; A:18:9:0; A:19:0:1; A:19:2:3; A:19:3:1; A:19:5:1; A:20:0:2; A:20:2:3; A:20:4:3; A:20:6:3; ,False,OPTIMUM_FOUND,3.0,0.1,2.89
5,playful-lion-6,opb,0.0,1.0,0.0,0.0,"f=opb__s=roundingsat__i=i1=0,i2=1,i3=0,i4=0__pb_like=0",./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn.txt,0.0,roundingsat,600.0,0.08,0.02,0.05,47.0,v S_0:0; S_1:18; S_2:0; S_3:0; S_4:10; S_5:14; S_6:9; S_7:19; S_8:16; S_9:29; S_10:30; S_11:22; S_12:37; S_13:33; S_14:12; S_15:4; S_16:18; S_17:37; S_18:46; S_19:35; S_20:28; S_21:47; A:1:0:2; A:1:1:3; A:2:3:0; A:2:4:3; A:2:5:0; A:2:7:3; A:3:1:3; A:3:2:1; A:3:6:3; A:3:9:1; A:4:3:0; A:4:5:0; A:4:7:3; A:5:0:2; A:5:1:3; A:5:2:2; A:5:4:3; A:5:6:3; A:6:0:2; A:6:1:0; A:6:2:2; A:6:6:2; A:6:8:0; A:7:0:2; A:7:9:1; A:8:7:3; A:8:8:0; A:9:1:3; A:9:3:0; A:9:5:0; A:9:6:3; A:9:7:3; A:10:0:2; A:10:2:1; A:10:9:1; A:11:1:0; A:11:7:3; A:11:8:0; A:12:0:2; A:12:4:3; A:12:6:3; A:12:7:3; A:13:2:1; A:13:4:3; A:13:8:1; A:13:9:1; A:14:1:3; A:14:2:1; A:14:4:3; A:14:6:3; A:14:8:1; A:14:9:1; A:15:1:3; A:15:2:1; A:15:6:3; A:15:8:1; A:15:9:1; A:16:3:0; A:16:4:3; A:16:5:0; A:16:6:3; A:17:1:3; A:17:3:0; A:17:5:0; A:17:8:0; A:18:0:2; A:18:2:2; A:18:4:3; A:18:7:3; A:18:8:2; A:19:1:3; A:19:3:0; A:19:5:0; A:19:6:3; A:19:7:3; A:20:0:2; A:20:1:0; A:20:3:0; A:20:5:0; A:20:6:2; ,False,OPTIMUM_FOUND,2.63,0.08,2.53
6,honest-sea-7,opb,0.0,1.0,0.0,0.0,"f=opb__s=roundingsat__i=i1=0,i2=1,i3=0,i4=0__pb_like=0",./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn.txt,0.0,roundingsat,600.0,0.06,0.02,0.03,48.0,v S_0:0; S_1:5; S_2:0; S_3:0; S_4:12; S_5:10; S_6:8; S_7:17; S_8:15; S_9:16; S_10:14; S_11:33; S_12:30; S_13:22; S_14:22; S_15:35; S_16:32; S_17:24; S_18:43; S_19:39; S_20:42; S_21:48; A:1:1:3; A:1:3:1; A:1:4:3; A:1:6:1; A:1:12:3; A:2:5:3; A:2:9:1; A:2:10:1; A:2:11:3; A:3:0:1; A:3:2:1; A:3:7:2; A:3:8:2; A:4:4:2; A:4:7:2; A:4:9:2; A:4:12:3; A:5:1:1; A:5:6:3; A:5:8:3; A:5:10:1; A:5:11:3; A:6:0:0; A:6:2:3; A:7:0:0; A:7:2:3; A:8:7:2; A:8:8:2; A:8:9:2; A:8:12:3; A:9:1:3; A:9:6:3; A:9:10:1; A:10:3:0; A:10:5:3; A:11:0:1; A:11:5:0; A:11:9:1; A:11:10:1; A:11:11:0; A:12:1:1; A:12:3:2; A:12:4:2; A:13:5:3; A:13:7:2; A:13:8:2; A:14:3:2; A:14:4:2; A:14:6:0; A:14:9:2; A:15:2:1; A:15:7:2; A:15:8:2; A:15:9:2; A:15:12:1; A:16:2:3; A:16:6:3; A:16:7:2; A:16:8:2; A:16:12:3; A:17:0:1; A:17:1:3; A:17:2:3; A:17:12:3; A:18:2:0; A:18:6:0; A:18:7:3; A:18:8:3; A:18:9:3; A:18:11:0; A:19:0:0; A:19:1:1; A:19:3:1; A:19:4:0; A:19:10:1; A:20:5:3; A:20:6:3; A:20:7:2; A:20:8:2; A:20:11:3; ,False,OPTIMUM_FOUND,0.39,0.03,0.35
7,lunar-cloud-8,opb,0.0,1.0,0.0,0.0,"f=opb__s=roundingsat__i=i1=0,i2=1,i3=0,i4=0__pb_like=0",./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn.txt,0.0,roundingsat,600.0,0.07,0.03,0.03,40.0,v S_0:0; S_1:0; S_2:0; S_3:0; S_4:19; S_5:10; S_6:10; S_7:5; S_8:14; S_9:11; S_10:22; S_11:24; S_12:21; S_13:6; S_14:5; S_15:29; S_16:27; S_17:31; S_18:39; S_19:33; S_20:33; S_21:40; A:1:3:2; A:1:4:3; A:1:5:2; A:1:8:3; A:1:10:3; A:2:1:2; A:2:2:0; A:2:6:2; A:3:0:0; A:3:9:1; A:3:11:0; A:4:0:1; A:4:7:0; A:4:9:1; A:5:4:3; A:5:7:0; A:5:11:0; A:5:12:0; A:6:0:1; A:6:6:2; A:6:9:1; A:7:3:1; A:7:8:3; A:7:10:3; A:8:4:1; A:8:5:2; A:8:12:2; A:9:1:3; A:9:2:1; A:9:3:1; A:9:8:3; A:9:10:3; A:10:2:0; A:10:8:3; A:10:10:3; A:10:11:0; A:11:2:0; A:11:8:3; A:11:10:3; A:11:11:0; A:12:1:3; A:12:3:2; A:12:4:3; A:12:5:2; A:12:6:2; A:12:12:3; A:13:1:1; A:13:2:1; A:13:6:2; A:13:9:1; A:14:0:1; A:14:4:2; A:14:5:2; A:14:12:2; A:15:0:1; A:15:1:1; A:15:9:1; A:15:12:3; A:16:3:2; A:16:4:3; A:16:5:2; A:16:6:2; A:16:8:3; A:16:10:3; A:17:2:0; A:17:10:1; A:17:11:0; A:18:3:1; A:18:4:3; A:18:9:1; A:18:10:1; A:18:12:3; A:19:0:1; A:19:1:1; A:19:2:0; A:20:6:0; A:20:7:0; A:20:8:3; A:20:10:3; A:20:11:0; ,False,OPTIMUM_FOUND,1.48,0.07,1.4
8,upbeat-disco-9,opb,0.0,1.0,0.0,0.0,"f=opb__s=roundingsat__i=i1=0,i2=1,i3=0,i4=0__pb_like=0",./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn.txt,0.0,roundingsat,600.0,0.05,0.02,0.02,49.0,v S_0:0; S_1:1; S_2:0; S_3:4; S_4:4; S_5:9; S_6:24; S_7:9; S_8:37; S_9:19; S_10:14; S_11:19; S_12:15; S_13:30; S_14:21; S_15:38; S_16:29; S_17:25; S_18:44; S_19:39; S_20:18; S_21:49; A:1:1:3; A:1:3:3; A:1:10:1; A:1:11:1; A:2:2:2; A:2:4:2; A:2:9:1; A:2:12:1; A:3:0:3; A:3:2:2; A:3:6:2; A:3:8:3; A:4:4:3; A:4:9:1; A:4:12:1; A:5:4:3; A:5:7:0; A:6:2:2; A:6:4:2; A:6:7:0; A:6:8:0; A:7:1:3; A:7:3:3; A:7:10:1; A:7:11:3; A:7:12:1; A:8:5:0; A:8:6:2; A:9:2:0; A:9:3:3; A:9:4:3; A:9:7:0; A:9:8:3; A:10:0:3; A:10:6:2; A:10:8:3; A:10:9:2; A:11:10:1; A:11:11:1; A:11:12:2; A:12:0:0; A:12:5:0; A:12:6:2; A:12:9:0; A:13:0:0; A:13:1:1; A:13:9:1; A:13:11:1; A:14:1:1; A:14:2:2; A:14:4:2; A:15:0:3; A:15:1:1; A:15:3:3; A:15:6:1; A:15:9:1; A:15:11:3; A:16:2:0; A:16:4:1; A:16:7:0; A:16:8:0; A:16:10:1; A:16:12:1; A:17:0:0; A:17:1:0; A:17:5:0; A:17:6:2; A:17:9:2; A:18:5:0; A:18:6:2; A:18:7:0; A:18:9:2; A:19:2:2; A:19:4:2; A:19:8:3; A:19:12:2; A:20:1:3; A:20:2:2; A:20:3:3; A:20:11:3; ,False,OPTIMUM_FOUND,0.32,0.03,0.28
9,eternal-dawn-10,opb,0.0,1.0,0.0,0.0,"f=opb__s=roundingsat__i=i1=0,i2=1,i3=0,i4=0__pb_like=0",./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn.txt,0.0,roundingsat,600.0,0.07,0.02,0.03,53.0,v S_0:0; S_1:0; S_2:10; S_3:0; S_4:10; S_5:18; S_6:18; S_7:25; S_8:15; S_9:25; S_10:26; S_11:32; S_12:30; S_13:34; S_14:44; S_15:39; S_16:36; S_17:44; S_18:46; S_19:29; S_20:46; S_21:53; A:1:0:2; A:1:2:2; A:1:5:3; A:1:6:3; A:1:10:3; A:1:12:2; A:2:0:2; A:2:2:2; A:2:3:3; A:2:6:3; A:2:10:3; A:3:3:3; A:3:4:1; A:3:7:1; A:3:8:1; A:3:9:3; A:4:5:3; A:4:7:3; A:4:8:1; A:4:9:3; A:5:0:2; A:5:3:2; A:5:8:1; A:6:2:2; A:6:5:3; A:6:6:3; A:7:4:1; A:7:5:3; A:7:6:3; A:7:7:1; A:7:9:3; A:8:7:3; A:8:9:3; A:8:12:2; A:9:10:3; A:9:11:0; A:10:3:3; A:10:10:3; A:10:11:0; A:11:1:0; A:11:7:3; A:11:11:0; A:12:2:2; A:12:5:3; A:12:6:3; A:12:9:2; A:13:4:1; A:13:5:3; A:13:6:3; A:13:9:1; A:14:0:1; A:14:3:2; A:14:7:1; A:14:9:1; A:15:0:1; A:15:1:0; A:15:3:0; A:15:8:1; A:15:10:1; A:15:11:0; A:16:2:2; A:16:7:1; A:17:2:2; A:17:5:3; A:17:6:3; A:17:10:3; A:17:12:2; A:18:3:3; A:18:6:3; A:18:7:3; A:18:9:1; A:19:0:1; A:19:3:3; A:19:8:1; A:19:10:3; A:19:12:1; A:20:2:2; A:20:4:1; A:20:8:1; A:20:10:1; ,False,OPTIMUM_FOUND,0.78,0.05,0.72
